group,index,text,agg,val
target,0,Check her out!,mean,8.418360710144043
target,0,Check her out!,max,22.929780960083008
target,0,Check her out!,last,22.929780960083008
target,1,She does not.,mean,12.271906852722168
target,1,She does not.,max,33.04009246826172
target,1,She does not.,last,33.04009246826172
target,2,She too died.,mean,8.302916526794434
target,2,She too died.,max,22.47282600402832
target,2,She too died.,last,22.47282600402832
target,3,She looks concerned.,mean,10.262919425964355
target,3,She looks concerned.,max,27.545034408569336
target,3,She looks concerned.,last,27.545034408569336
target,4,She is cunning.,mean,9.97758674621582
target,4,She is cunning.,max,32.333251953125
target,4,She is cunning.,last,32.333251953125
target,5,Now she has indicated that she will support Trump.,mean,11.597269058227539
target,5,Now she has indicated that she will support Trump.,max,32.845943450927734
target,5,Now she has indicated that she will support Trump.,last,23.591434478759766
target,6,She started screaming.,mean,9.815985679626465
target,6,She started screaming.,max,22.248167037963867
target,6,She started screaming.,last,22.248167037963867
target,7,and she could not have been more right!,mean,2.893716335296631
target,7,and she could not have been more right!,max,13.248563766479492
target,7,and she could not have been more right!,last,8.857711791992188
target,8,she asked.,mean,7.21247673034668
target,8,she asked.,max,13.188167572021484
target,8,she asked.,last,13.188167572021484
target,9,she asked.,mean,7.21247673034668
target,9,she asked.,max,13.188167572021484
target,9,she asked.,last,13.188167572021484
target,10,And she’s Dutch.,mean,4.656835079193115
target,10,And she’s Dutch.,max,19.980016708374023
target,10,And she’s Dutch.,last,19.980016708374023
target,11,She screamed.,mean,9.125375747680664
target,11,She screamed.,max,21.71997833251953
target,11,She screamed.,last,21.71997833251953
target,12,She’s a marine biologist.,mean,4.507297515869141
target,12,She’s a marine biologist.,max,17.077463150024414
target,12,She’s a marine biologist.,last,17.077463150024414
target,13,She too turned around.,mean,9.972625732421875
target,13,She too turned around.,max,27.649381637573242
target,13,She too turned around.,last,27.649381637573242
target,14,“ She's everywhere and she's nowhere.,mean,9.245083808898926
target,14,“ She's everywhere and she's nowhere.,max,36.0371208190918
target,14,“ She's everywhere and she's nowhere.,last,36.0371208190918
target,15,She’s a fantastic teacher.,mean,8.59238338470459
target,15,She’s a fantastic teacher.,max,32.98197555541992
target,15,She’s a fantastic teacher.,last,32.98197555541992
target,16,She was a teenage girl.,mean,5.613326072692871
target,16,She was a teenage girl.,max,26.359174728393555
target,16,She was a teenage girl.,last,26.359174728393555
target,17,She was not hurt.,mean,8.353933334350586
target,17,She was not hurt.,max,29.99176788330078
target,17,She was not hurt.,last,29.99176788330078
target,18,She refused.,mean,9.311539649963379
target,18,She refused.,max,26.344770431518555
target,18,She refused.,last,26.344770431518555
target,19,She could certainly have been a woman just like me.,mean,6.198007583618164
target,19,She could certainly have been a woman just like me.,max,30.220460891723633
target,19,She could certainly have been a woman just like me.,last,30.220460891723633
target,20,She shook her head.,mean,9.277833938598633
target,20,She shook her head.,max,23.54311180114746
target,20,She shook her head.,last,23.54311180114746
target,21,"She cried, smiling.",mean,12.252777099609375
target,21,"She cried, smiling.",max,22.803319931030273
target,21,"She cried, smiling.",last,22.803319931030273
target,22,She was done.,mean,8.446234703063965
target,22,She was done.,max,26.214229583740234
target,22,She was done.,last,26.214229583740234
target,23,Anna continued.,mean,9.260308265686035
target,23,Anna continued.,max,20.93370819091797
target,23,Anna continued.,last,20.93370819091797
target,24,Her fav.,mean,1.9835939407348633
target,24,Her fav.,max,7.934375762939453
target,24,Her fav.,last,7.934375762939453
target,25,"But unfortunately she is in terrible fear.""",mean,4.9330573081970215
target,25,"But unfortunately she is in terrible fear.""",max,12.313976287841797
target,25,"But unfortunately she is in terrible fear.""",last,5.50897741317749
target,26,She was not quite right.',mean,3.3840043544769287
target,26,She was not quite right.',max,8.10837173461914
target,26,She was not quite right.',last,7.870504379272461
target,27,"She was untrained, destructive.",mean,7.826742649078369
target,27,"She was untrained, destructive.",max,25.121658325195312
target,27,"She was untrained, destructive.",last,25.121658325195312
target,28,Then she started drinking.,mean,8.424506187438965
target,28,Then she started drinking.,max,29.323089599609375
target,28,Then she started drinking.,last,29.323089599609375
target,29,She was a reluctant scholar.,mean,6.925596237182617
target,29,She was a reluctant scholar.,max,30.272926330566406
target,29,She was a reluctant scholar.,last,30.272926330566406
target,30,"""She was a wild child.",mean,9.096595764160156
target,30,"""She was a wild child.",max,38.539974212646484
target,30,"""She was a wild child.",last,38.539974212646484
target,31,"“She has changed our lives,” she says.",mean,7.602420330047607
target,31,"“She has changed our lives,” she says.",max,20.24436378479004
target,31,"“She has changed our lives,” she says.",last,20.24436378479004
target,32,"“Oh, but she’s quite muddy,” Mrs.",mean,1.4199652671813965
target,32,"“Oh, but she’s quite muddy,” Mrs.",max,9.86581802368164
target,32,"“Oh, but she’s quite muddy,” Mrs.",last,0.0
target,33,I think she would laugh.,mean,7.8449482917785645
target,33,I think she would laugh.,max,31.260099411010742
target,33,I think she would laugh.,last,31.260099411010742
target,34,Her interpretation.,mean,7.884626388549805
target,34,Her interpretation.,max,21.70587730407715
target,34,Her interpretation.,last,21.70587730407715
target,35,And she still maintains her pride and hard headed nature.,mean,9.877711296081543
target,35,And she still maintains her pride and hard headed nature.,max,28.252574920654297
target,35,And she still maintains her pride and hard headed nature.,last,28.252574920654297
target,36,Becky is cute.,mean,7.174989223480225
target,36,Becky is cute.,max,32.397098541259766
target,36,Becky is cute.,last,32.397098541259766
target,37,"She's already here, sire.",mean,7.5166916847229
target,37,"She's already here, sire.",max,21.775068283081055
target,37,"She's already here, sire.",last,21.775068283081055
target,38,"Heather pauses and then adds, ""She's a wonderful nurse.""",mean,5.2229180335998535
target,38,"Heather pauses and then adds, ""She's a wonderful nurse.""",max,14.25382137298584
target,38,"Heather pauses and then adds, ""She's a wonderful nurse.""",last,14.25382137298584
target,39,Vanessa!,mean,1.5112732648849487
target,39,Vanessa!,max,6.045093059539795
target,39,Vanessa!,last,6.045093059539795
target,40,She couldn’t let herself get distracted.,mean,6.151142120361328
target,40,She couldn’t let herself get distracted.,max,28.528148651123047
target,40,She couldn’t let herself get distracted.,last,28.528148651123047
target,41,"""Elsa?",mean,1.3803532123565674
target,41,"""Elsa?",max,5.5214128494262695
target,41,"""Elsa?",last,5.5214128494262695
target,42,She's trying to hold your hand!,mean,5.407751560211182
