family_id,display_name,category,benchmark_priority,experiment_count,core_method_count,matched_feature_count,mean_certainty,max_certainty,core_methods_present,experiments_present
mlb_baseball,MLB / Professional Baseball,sports_and_games,high,22,7,22,0.9963636363636365,1.0,"topk,batchtopk,relu,gatedsae,jumprelu,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/jumprelu,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
nfl_football,NFL / American Football,sports_and_games,high,21,6,28,0.9964285714285716,1.0,"batchtopk,relu,gatedsae,jumprelu,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/jumprelu,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea2-residual-success,idea3-lejepa,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
soccer,Soccer / Association Football,sports_and_games,high,20,7,25,0.9968,1.0,"topk,batchtopk,relu,gatedsae,jumprelu,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/jumprelu,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_4_d,idea8-dense-imq,idea9-dense-repreg"
nba_basketball,NBA / Basketball,sports_and_games,high,22,7,29,0.9972413793103448,1.0,"topk,batchtopk,relu,gatedsae,jumprelu,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/jumprelu,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
nhl_hockey,NHL / Hockey,sports_and_games,high,21,6,21,0.9980952380952381,1.0,"topk,batchtopk,relu,gatedsae,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
combat_sports,Combat Sports,sports_and_games,high,17,6,17,0.9929411764705882,1.0,"topk,batchtopk,relu,gatedsae,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq_025_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
gaming_general,Video Games / Gaming,sports_and_games,high,14,6,24,0.9725000000000001,1.0,"batchtopk,relu,gatedsae,jumprelu,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/jumprelu,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea2-residual-success,idea3-lejepa,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d"
tabletop_gaming,Tabletop / Card Gaming,sports_and_games,high,6,2,7,0.9885714285714285,1.0,"gatedsae,dense","baseline/gatedsae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan"
crypto_blockchain,Crypto / Blockchain,technology_and_science,high,21,6,21,0.9914285714285714,1.0,"topk,batchtopk,relu,gatedsae,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
aviation_aerospace,Aviation / Aerospace,technology_and_science,high,18,5,22,0.9963636363636365,1.0,"topk,batchtopk,relu,dense,kernel","baseline/BatchTopK,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
china,China,geography_and_politics,high,21,6,21,0.9828571428571429,1.0,"topk,batchtopk,relu,gatedsae,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
japan,Japan,geography_and_politics,high,20,5,20,0.9875,1.0,"batchtopk,relu,gatedsae,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
russia_post_soviet,Russia / Post-Soviet Sphere,geography_and_politics,high,22,7,24,0.9529166666666665,1.0,"topk,batchtopk,relu,gatedsae,jumprelu,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/jumprelu,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
middle_east_geopolitics,Middle East Geopolitics,geography_and_politics,high,22,6,45,0.986222222222222,1.0,"topk,batchtopk,relu,gatedsae,dense,kernel","baseline/BatchTopK,baseline/gatedsae,baseline/main,baseline/relusae,idea1-dense-success,idea10-kernel-repreg,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea2-residual-success,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
judaism_jewish,Judaism / Jewish Life,geography_and_politics,high,16,4,16,0.9862500000000001,1.0,"batchtopk,relu,dense,kernel","baseline/BatchTopK,baseline/relusae,idea1-dense-success,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea8-dense-imq,idea9-dense-repreg"
