concept,method,display_name,alpha_percent,score_aggregation,tau,calibration_control_reject_rate,realized_control_reject_rate,target_reject_rate,auc_roc,n_control_calibration,n_control_evaluation,n_target_evaluation,feature_dir,split_seed
canadian_political,batchtopk,BatchTopK SAE,1,max,15.362244606018066,0.01,0.06,1.0,0.9944791666666667,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/batchtopk-l11-f29876,42
canadian_political,batchtopk,BatchTopK SAE,2,max,13.367163181304932,0.02,0.06,1.0,0.9944791666666667,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/batchtopk-l11-f29876,42
canadian_political,batchtopk,BatchTopK SAE,5,max,6.069638729095459,0.03,0.08,1.0,0.9944791666666667,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/batchtopk-l11-f29876,42
canadian_political,batchtopk,BatchTopK SAE,10,max,6.069638729095459,0.03,0.08,1.0,0.9944791666666667,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/batchtopk-l11-f29876,42
canadian_political,batchtopk,BatchTopK SAE,20,max,6.069638729095459,0.03,0.08,1.0,0.9944791666666667,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/batchtopk-l11-f29876,42
canadian_political,dense,PLRDC SAE,1,max,7.445672273635864,0.01,0.06,1.0,0.9959375,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/dense-l11-f18501,42
canadian_political,dense,PLRDC SAE,2,max,6.415083169937134,0.02,0.07,1.0,0.9959375,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/dense-l11-f18501,42
canadian_political,dense,PLRDC SAE,5,max,4.736716270446777,0.05,0.08,1.0,0.9959375,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/dense-l11-f18501,42
canadian_political,dense,PLRDC SAE,10,max,1.8707990646362305,0.07,0.08,1.0,0.9959375,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/dense-l11-f18501,42
canadian_political,dense,PLRDC SAE,20,max,1.8707990646362305,0.07,0.08,1.0,0.9959375,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/dense-l11-f18501,42
