group,group_title,group_subtitle,concepts,method,display_name,alpha_percent,avg_auc_roc,avg_auc_roc_ci_low,avg_auc_roc_ci_high,mean_target_reject_rate,target_reject_ci_low,target_reject_ci_high,mean_realized_control_reject_rate,realized_control_ci_low,realized_control_ci_high,mean_tau,n_concepts
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",batchtopk,BatchTopK SAE,1,0.9994833333333334,0.99865,1.0,0.6633333333333333,0.0,1.0,0.01,0.0,0.02,inf,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",batchtopk,BatchTopK SAE,2,0.9994833333333334,0.99865,1.0,0.6666666666666666,0.0,1.0,0.01,0.0,0.02,inf,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",batchtopk,BatchTopK SAE,5,0.9994833333333334,0.99865,1.0,0.6666666666666666,0.0,1.0,0.02666666666666667,0.0,0.05000000000000001,inf,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",batchtopk,BatchTopK SAE,10,0.9994833333333334,0.99865,1.0,0.6666666666666666,0.0,1.0,0.02666666666666667,0.0,0.05000000000000001,inf,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",batchtopk,BatchTopK SAE,20,0.9994833333333334,0.99865,1.0,0.6666666666666666,0.0,1.0,0.02666666666666667,0.0,0.05000000000000001,inf,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",dense,PLRDC SAE,1,0.99995,0.99985,1.0,1.0,1.0,1.0,0.01,0.0,0.02,9.449211438496908,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",dense,PLRDC SAE,2,0.99995,0.99985,1.0,1.0,1.0,1.0,0.016666666666666666,0.01,0.02,6.915017485618591,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",dense,PLRDC SAE,5,0.99995,0.99985,1.0,1.0,1.0,1.0,0.02333333333333333,0.01,0.04,4.118110140164693,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",dense,PLRDC SAE,10,0.99995,0.99985,1.0,1.0,1.0,1.0,0.04666666666666667,0.01,0.11,2.6225459973017373,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",dense,PLRDC SAE,20,0.99995,0.99985,1.0,1.0,1.0,1.0,0.04666666666666667,0.01,0.11,2.6225459973017373,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",gatedsae,Gated SAE,1,0.9591500000000001,0.8779,1.0,0.7666666666666666,0.3,1.0,0.02,0.0,0.04,5.021674633026123,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",gatedsae,Gated SAE,2,0.9591500000000001,0.8779,1.0,0.7833333333333333,0.3499999999999999,1.0,0.03333333333333333,0.01,0.06,4.259181976318359,3
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",gatedsae,Gated SAE,5,0.9591500000000001,0.8779,1.0,0.8666666666666667,0.6,1.0,0.05333333333333334,0.03,0.07,2.8165365060170493,3
